difficulty,total_points,percentage
1.477466193,500,0.01
1.477466193,492.9171,0.24
1.477466193,484.61,0.69
1.477466193,483.014,0.81
1.477466193,483.014,0.81
1.477466193,480.89,1
1.477466193,480.48,1.01
1.477466193,479.7121,1.09
1.477466193,477.8327,1.24
1.477466193,475.23,1.48
1.477466193,474.93,1.52
1.477466193,470.8011,1.93
1.477466193,470.0355,2.01
1.477466193,467.68,2.24
1.477466193,465.55,2.47
1.477466193,465.02,2.53
1.477466193,464.03,2.64
1.477466193,463.8512,2.67
1.477466193,460.6155,3.04
1.477466193,459.92,3.12
1.477466193,459.89,3.13
1.477466193,458.2023,3.33
1.477466193,458.08,3.34
1.477466193,455.2343,3.69
1.477466193,455.2426,3.69
1.477466193,454.4708,3.79
1.477466193,453.7711,3.88
1.477466193,453.11,3.97
1.477466193,453.06,3.98
1.477466193,450.4312,4.33
1.477466193,450.1673,4.37
1.477466193,448.5734,4.58
1.477466193,447.637,4.7
1.477466193,447.3431,4.75
1.477466193,446.88,4.82
1.477466193,446.6169,4.85
1.477466193,443.9,5.23
1.477466193,443.248,5.32
1.477466193,443.18,5.33
1.477466193,438.256,6.06
1.477466193,437.8757,6.12
1.477466193,436.9068,6.27
1.477466193,436.62,6.31
1.477466193,436.53,6.33
1.477466193,435.6,6.47
1.477466193,433.59,6.79
1.477466193,433.4867,6.8
1.477466193,432.23,7
1.477466193,432.02,7.03
1.477466193,432.05,7.03
1.477466193,431.82,7.06
1.477466193,431.5472,7.1
1.477466193,430.8897,7.21
1.477466193,427.0502,7.82
1.477466193,422.87,8.52
1.477466193,418.2221,9.34
1.477466193,415.376,9.84
1.477466193,415.2675,9.86
1.477466193,414.56,9.99
1.477466193,413.7198,10.14
1.477466193,410.0124,10.84
1.477466193,409.7532,10.89
1.477466193,406.46,11.53
1.477466193,403.4312,12.15
1.477466193,403.17,12.2
1.477466193,400.34,12.8
1.477466193,395.3664,13.87
1.477466193,393.364,14.31
1.477466193,392.2379,14.56
1.477466193,388.3467,15.47
1.477466193,387.01,15.78
1.477466193,386.9135,15.8
1.477466193,377.7327,18.06
1.477466193,375.45,18.65
1.477466193,375.27,18.71
1.477466193,365.42,21.42
1.477466193,363.1848,22.07
1.477466193,358.1703,23.58
1.477466193,351.8676,25.58
1.477466193,325.0968,34.96
1.477466193,302.6345,43.99
1.477466193,299.7327,45.22
1.477466193,287.1074,50.75
7.85,492.891,0.04
7.85,486.884,0.13
7.85,486.884,0.13
7.85,484.81,0.17
7.85,480.355,0.25
7.85,474.545,0.45
7.85,472.991,0.48
7.85,472.452,0.5
7.85,466.831,0.74
7.85,464.785,0.85
7.85,461.768,0.99
7.85,455.438,1.36
7.85,453.47,1.53
7.85,452.952,1.53
7.85,449.098,1.82
7.85,448.483,1.86
7.85,447.938,1.9
7.85,447.031,1.98
7.85,443.031,2.31
7.85,442.774,2.33
7.85,441.66,2.43
7.85,439.284,2.64
7.85,437.838,2.79
7.85,437.537,2.81
7.85,436.661,2.9
7.85,436.524,2.92
7.85,436.496,2.92
7.85,434.51,3.12
7.85,434.163,3.15
7.85,434.002,3.17
7.85,433.953,3.17
7.85,433.663,3.2
7.85,432.291,3.35
7.85,431.461,3.44
7.85,431.038,3.48
7.85,428.581,3.76
7.85,426.292,4.02
7.85,425.304,4.14
7.85,424.428,4.25
7.85,422.153,4.52
7.85,420.391,4.8
7.85,418.217,5.04
7.85,416.762,5.24
7.85,416.384,5.29
7.85,416.063,5.33
7.85,413.504,5.69
7.85,412.145,5.89
7.85,411.86,5.93
7.85,407.946,6.54
7.85,407.722,6.57
7.85,406.625,6.75
7.85,406.527,6.77
7.85,406.483,6.77
7.85,406.026,6.85
7.85,402.684,7.39
7.85,401.148,7.66
7.85,400.734,7.73
7.85,400.538,7.77
7.85,399.259,7.99
7.85,397.439,8.32
7.85,397.019,8.39
7.85,396.932,8.4
7.85,395.4,8.68
7.85,393.892,8.97
7.85,393.073,9.13
7.85,392.665,9.21
7.85,391.888,9.36
7.85,391.266,9.36
7.85,388.092,10.13
7.85,386.334,10.49
7.85,385.378,10.68
7.85,384.99,10.77
7.85,384.511,10.87
7.85,384.505,10.87
7.85,384.023,10.98
7.85,379.529,11.96
7.85,378.782,12.12
7.85,378.617,12.16
7.85,377.704,12.37
7.85,377.553,12.41
7.85,375.815,12.82
7.85,372.091,13.72
7.85,371.564,13.85
7.85,368.653,14.57
7.85,368.414,14.63
7.85,368.049,14.73
7.85,364.608,15.61
7.85,361.006,16.55
7.85,360.555,16.67
7.85,359.39,16.99
7.85,358.812,17.15
7.85,358.343,17.78
7.85,357.982,17.38
7.85,356.091,17.9
7.85,355.887,17.95
7.85,350.219,19.58
7.85,348.942,19.95
7.85,347.769,20.3
7.85,347.148,20.48
7.85,345.648,20.93
7.85,344.404,21.3
7.85,344.21,21.36
7.85,344.156,21.38
7.85,343.224,21.66
7.85,342.896,21.76
7.85,342.794,21.48
7.85,342.361,21.95
7.85,336.181,23.88
7.85,334.567,24.39
7.85,331.915,25.27
7.85,323.1,28.27
7.85,317.436,30.33
7.85,316.745,30.58
7.85,316.322,30.74
7.85,315.012,31.24
7.85,304.254,35.41
7.85,302.129,36.28
7.85,297.255,38.29
7.85,296.426,38.7
7.85,296.211,38.79
7.85,292.892,40.26
7.85,291.418,40.92
7.85,287.577,42.68
7.85,286.347,43.26
7.85,284.391,44.19
7.85,283.647,44.54
7.85,282.874,44.92
7.85,282.281,45.2
7.85,277.95,47.37
7.85,277.615,47.54
7.85,266.378,53.52
7.85,263.796,54.99
7.85,253.451,61.08
7.85,251.848,62.04
7.85,244.466,21.29
7.85,223.392,80.65
7.85,206.198,90.69
5.65,487.533,0.08
5.65,487.533,0.08
5.65,479.971,0.17
5.65,478.879,0.19
5.65,475.215,0.26
5.65,472.254,0.32
5.65,471.363,0.35
5.65,470.287,0.38
5.65,469.155,0.41
5.65,466.768,0.47
5.65,464.56,0.54
5.65,463.599,0.58
5.65,461.863,0.63
5.65,461.136,0.66
5.65,460.93,0.67
5.65,460.244,0.69
5.65,459.93,0.7
5.65,458.315,0.77
5.65,457.963,0.78
5.65,452.961,0.99
5.65,451.316,1.06
5.65,450.441,1.12
5.65,449.522,1.15
5.65,447.738,1.24
5.65,445.457,1.36
5.65,444.305,1.43
5.65,440.052,1.68
5.65,439.758,1.69
5.65,437.97,1.81
5.65,436.9374,1.88
5.65,436.9374,1.88
5.65,434.371,2.06
5.65,434.272,2.07
5.65,432.932,2.17
5.65,432.662,2.2
5.65,429.956,2.41
5.65,429.956,2.41
5.65,429.478,2.45
5.65,428.919,2.49
5.65,427.291,2.63
5.65,427.288,2.63
5.65,426.203,2.72
5.65,425.548,2.78
5.65,425.2,2.81
5.65,423.083,3
5.65,422.899,3.02
5.65,422.469,3.04
5.65,421.309,3.17
5.65,421.262,3.18
5.65,420.418,3.26
5.65,417.464,3.55
5.65,417.421,3.57
5.65,415.134,3.81
5.65,414.799,3.84
5.65,406.32,4.81
5.65,404.442,5.03
5.65,402.809,5.24
5.65,402.353,5.3
5.65,399.577,5.67
5.65,399.265,5.71
5.65,398.597,5.8
5.65,398.182,5.86
5.65,397.223,5.99
5.65,395.097,6.28
5.65,392.487,6.65
5.65,391.77,6.76
5.65,391.222,6.84
5.65,390.497,6.95
5.65,390.03,7.02
5.65,389.517,7.1
5.65,385.016,7.8
5.65,384.119,7.94
5.65,381.516,8.36
5.65,377.789,8.98
5.65,374.434,9.56
5.65,374.237,9.59
5.65,373.399,9.74
5.65,371.771,10.01
5.65,369.473,10.43
5.65,367.813,10.72
5.65,365.02,11.24
5.65,362.716,11.67
5.65,357.986,12.58
5.65,357.109,12.76
5.65,356.629,12.85
5.65,351.984,13.77
5.65,351.427,13.88
5.65,349.525,14.29
5.65,348.131,14.59
5.65,345.42,15.18
5.65,344.987,15.27
5.65,344.155,15.45
5.65,343.698,15.55
5.65,343.035,15.7
5.65,341.342,16.08
5.65,330.928,18.49
5.65,322.902,20.51
5.65,322.565,20.59
5.65,315.1,22.6
5.65,311.999,23.49
5.65,309.865,24.11
5.65,308.808,24.42
5.65,304.753,25.65
5.65,296.047,28.47
5.65,295.093,28.8
5.65,289.949,30.6
5.65,289.529,30.75
5.65,288.342,31.18
5.65,286.601,31.82
5.65,283.921,32.85
5.65,281.073,33.97
5.65,279.681,34.54
5.65,279.54,34.59
5.65,267.869,39.76
5.65,256.743,45.62
5.65,255.091,46.56
5.65,244.338,53.39
5.65,236.904,58.82
5.65,227.267,66.66
5.65,219.87,73.15
